Zip,Total Population,Median Age,Percent White,Percent Black,Percent Hispanic,Median Income,Mean Income
11782,14948,42.6,96.4,0.7,4.3,104353,117404
11783,21115,41,96.6,0.2,4.7,99217,113716
11784,25194,36.5,84.5,2.7,13,81766,86944
11786,6280,41,96.6,0.4,5.3,130061,142473
11787,36425,40.8,95.1,0.7,4.2,109051,133448
11788,16672,41.1,90.7,1.1,9.2,102949,117608
11789,7707,35.2,96.2,0.1,6.3,83646,96479
11790,18210,28.2,77.9,4.4,5.4,124217,147184
11791,25816,40.3,77.6,0.8,4.9,138852,193712
11792,9602,38,96.6,0.7,4.8,119979,121802
11793,32178,41.6,94.5,0.8,5.6,111809,130612
11794,2909,20.1,36.8,14.9,11.6,,
11795,25811,41.5,97.6,0.2,4.2,102638,120318
11796,3611,41.6,98.5,0.8,3.6,98631,101557
11797,9001,50.5,84.3,2.3,1.1,149980,196187
11798,15031,32,19.8,67.6,20.1,63125,76156
11801,38257,43,75.1,1.5,11.5,88197,106700
11803,28038,44.7,87.5,0.9,3.1,123179,143682
11804,5081,40.8,93.9,0.2,4.4,120425,144769
11901,26622,39.3,75.4,13.6,22.8,53438,69897
11930,1193,55.6,97.9,2.1,5.9,74932,110678
11931,46,68.5,100,0,0,102422,
11932,832,59.5,87,10.1,6.4,58875,124328
11933,6540,49.7,89.7,5.3,2.2,65300,88817
11934,7810,38.2,94.9,2.9,11.3,97727,110233
11935,3604,51.7,95,3.6,1.3,85391,102079
11937,15729,42.8,81.7,2.4,31.7,76455,124101
11939,1340,53.2,89.3,0,5.7,73984,102829
11940,4923,43.2,97.3,0.7,3.5,86971,113626
11941,1712,52.4,93.6,3.7,8.5,76625,100433
11942,4842,42.2,96.2,0,5,90042,106311
11944,4088,50.8,81.3,6.4,22.9,51305,80651
11946,14381,40.5,88.7,2.1,24.7,70218,86513
11947,121,46.8,100,0,0,29186,
11948,735,55,100,0,3,108265,114653
11949,13852,38.4,94.9,2.2,3.1,100245,110804
11950,15752,33.5,85.3,7.7,20.9,71122,80275
11951,13639,36.4,86.8,9.6,13.5,71563,73947
11952,4612,48,95.4,2.9,3.8,85982,102931
11953,12581,39.7,75.2,12.2,11,68155,79093
11954,3296,51.5,95.8,1.4,15.1,71593,97749
11955,2981,48.5,92.9,2.7,3,66552,86486
11956,288,64.1,100,0,12.8,59688,76026
11957,650,55.8,94.8,0.2,3.7,78333,103042
11958,454,57,100,0,0,91776,161927
11959,656,60.2,80.5,14.2,9.1,69250,118742
11960,963,53.5,100,0,4,104432,128380
11961,11982,49.7,91.2,6.3,4.9,53092,70874
11962,214,64.8,95.8,0,0,103636,134585
11963,6516,50.2,92,0.9,11.6,87534,136114
11964,1633,60.9,96.4,2,9.1,66417,93060
11965,824,50.3,99.3,0.4,4.5,100238,100879
11967,27031,35.3,83.2,5.5,16.9,86152,88594
11968,12103,44.7,85.1,4.3,14,83415,158127
11970,846,51.8,100,0,0,104917,116742
11971,5851,50.1,95.6,2.3,2.3,76035,106300
11972,817,42.9,96.9,2.9,20,72857,85368
11973,19,21.1,0,0,0,,
11975,351,56.4,98,1.1,5.7,100417,130086
11976,1804,49.6,95.6,0.5,8.2,139500,219170
11977,2559,53.7,97.9,0.7,7.1,102561,143657
11978,3208,51.7,91.6,1.3,11.6,86131,121553
11980,4994,40.3,85.8,8.6,9.9,86667,91902
12007,84,39.1,100,0,0,57292,66452
12008,520,42.5,100,0,0,42632,70951
12009,7073,44.8,95.2,0.5,1.7,76146,86902
12010,29192,41.5,88.8,1.5,16.6,44154,59352
12015,3317,44.2,94.5,1.9,3.9,64353,73959
